Umur,gender,Konsumsi kopi,Jenis Kopi,Alasan menikmati kopi,pengalaman dalam taun, 
50,laki laki,3,Arabica,suka aja,3, 
48,perempuan,2,arabica,historis,7, 
32,laki laki,1,kintamani,historis,6, 
27,laki laki,2,toraja,historis,8, 
30,laki laki,2,robusta,suka aja,2, 
47,perempuan,3,papua,menenangkan,1, 
20,laki laki,1,papua,menenangkan,9, 
31,perempuan,1,jawa,historis,10, 
44,laki laki,2,jawa,suka aja,7, 
28,perempuan,2,jawa,historis,3, 
35,laki laki,3,lampung,menenangkan,6, 
44,perempuan,1,lampung,suka aja,8, 
25,perempuan,3,aceh,karna rasa,6, 
37,perempuan,3,robusta,karna rasa,5, 
50,laki laki,1,lampung,historis,9, 
17,laki laki,1,toraja,suka aja,10, 
47,laki laki,3,aceh ,historis,6, 
40,laki laki,3,arabica,menenangkan,5, 
37,laki laki,1,kintamani,suka aja,1, 
40,perempuan,3,robusta,historis,2, 
50,laki laki,2,Arabica,historis,9, 
42,laki laki,1,arabica,historis,3, 
39,laki laki,1,kintamani,suka aja,7, 
49,perempuan,1,toraja,menenangkan,3, 
39,laki laki,1,robusta,menenangkan,3, 
23,perempuan,1,papua,historis,5, 
18,laki laki,3,papua,suka aja,3, 
34,perempuan,3,jawa,historis,10, 
31,laki laki,2,jawa,menenangkan,6, 
24,perempuan,2,jawa,suka aja,9, 
35,perempuan,3,lampung,karna rasa,1, 
19,perempuan,2,lampung,karna rasa,7, 
38,laki laki,1,aceh,historis,8, 
44,laki laki,3,robusta,suka aja,10, 
28,laki laki,3,lampung,historis,4, 
44,laki laki,1,toraja,menenangkan,5, 
40,laki laki,3,aceh ,suka aja,10, 
18,perempuan,3,arabica,historis,8, 
21,laki laki,3,kintamani,historis,8, 
27,laki laki,3,robusta,historis,2, 
39,laki laki,1,Arabica,suka aja,2, 
37,perempuan,3,arabica,menenangkan,7, 
22,laki laki,3,kintamani,menenangkan,3, 
39,perempuan,2,toraja,historis,6, 
21,laki laki,2,robusta,suka aja,10, 
27,perempuan,1,papua,historis,3, 
41,laki laki,1,papua,menenangkan,6, 
36,perempuan,3,jawa,suka aja,5, 
40,perempuan,2,jawa,karna rasa,10, 
42,perempuan,2,jawa,karna rasa,3, 
40,laki laki,3,lampung,historis,9, 
50,laki laki,1,lampung,suka aja,6, 
33,laki laki,2,aceh,historis,2, 
38,laki laki,1,robusta,menenangkan,7, 
23,laki laki,1,lampung,suka aja,2, 
47,perempuan,1,toraja,historis,3, 
39,laki laki,3,aceh ,historis,8, 
29,laki laki,3,arabica,historis,1, 
21,laki laki,3,kintamani,suka aja,7, 
50,perempuan,2,robusta,menenangkan,4, 
39,laki laki,3,Arabica,menenangkan,4, 
23,perempuan,3,arabica,historis,5, 
20,laki laki,3,kintamani,suka aja,2, 
37,perempuan,2,toraja,historis,8, 
23,laki laki,2,robusta,menenangkan,9, 
24,perempuan,2,papua,suka aja,5, 
